User,Название,Жанр,Рейтинг
User94,Film_24,драма,2.9
User62,Film_371,мелодрама,3.2
User113,Film_120,драма,2.4
User44,Film_40,боевик,2.4
User21,Film_134,триллер,2.4
User127,Film_93,боевик,3.9
User97,Film_316,детектив,2.9
User51,Film_106,драма,5.0
User118,Film_392,драма,4.2
User129,Film_196,комедия,3.0
User15,Film_242,фантастика,2.2
User100,Film_283,боевик,3.8
User89,Film_333,мелодрама,2.5
User61,Film_342,боевик,4.4
User118,Film_24,драма,4.1
User30,Film_214,мелодрама,1.9
User17,Film_362,детектив,4.2
User95,Film_387,драма,2.4
User146,Film_348,драма,2.7
User126,Film_103,мелодрама,3.2
User43,Film_108,мелодрама,2.7
User87,Film_353,боевик,3.5
User92,Film_255,боевик,5.0
User89,Film_285,фантастика,4.0
User34,Film_306,комедия,3.2
User44,Film_147,фантастика,3.8
User127,Film_266,комедия,4.4
User90,Film_56,боевик,2.1
User94,Film_343,триллер,2.2
User3,Film_77,драма,4.0
User97,Film_328,боевик,3.5
User54,Film_30,мелодрама,2.8
User92,Film_48,детектив,2.3
User69,Film_327,мелодрама,3.4
User49,Film_140,триллер,2.9
User91,Film_100,триллер,2.9
User50,Film_162,драма,2.9
User71,Film_244,боевик,1.5
User25,Film_249,драма,3.2
User9,Film_300,фантастика,2.2
User142,Film_138,триллер,3.6
User76,Film_45,детектив,4.6
User82,Film_387,драма,5.0
User23,Film_121,детектив,1.9
User147,Film_36,фантастика,2.7
User6,Film_113,комедия,4.1
User142,Film_144,фантастика,3.0
User110,Film_41,драма,2.3
User129,Film_366,мелодрама,4.7
User90,Film_181,комедия,3.3
User141,Film_60,боевик,3.8
User121,Film_381,мелодрама,4.3
User61,Film_43,триллер,3.0
User110,Film_147,фантастика,4.5
User58,Film_21,фантастика,3.2
User115,Film_120,драма,3.5
User60,Film_278,боевик,2.8
User51,Film_325,мелодрама,4.8
User82,Film_10,боевик,4.5
User40,Film_149,фантастика,2.3
User61,Film_65,боевик,3.4
User92,Film_260,боевик,4.6
User30,Film_264,драма,2.3
User28,Film_169,фантастика,2.9
User146,Film_233,боевик,2.4
User28,Film_125,детектив,4.1
User19,Film_378,триллер,2.0
User148,Film_141,фантастика,2.8
User70,Film_399,боевик,2.7
User112,Film_143,комедия,3.6
User69,Film_397,комедия,4.4
User40,Film_109,комедия,2.4
User22,Film_342,боевик,5.0
User138,Film_394,триллер,1.9
User28,Film_136,драма,3.2
User28,Film_227,драма,3.4
User35,Film_113,комедия,3.9
User120,Film_313,мелодрама,2.6
User130,Film_146,детектив,3.7
User94,Film_14,триллер,2.7
User145,Film_9,драма,4.7
User30,Film_8,драма,2.0
User56,Film_269,боевик,4.8
User89,Film_336,триллер,1.9
User91,Film_216,драма,5.0
User33,Film_330,мелодрама,2.1
User41,Film_120,драма,4.5
User104,Film_126,боевик,4.3
User57,Film_247,драма,3.2
User150,Film_142,драма,3.4
User147,Film_156,боевик,4.2
User67,Film_102,фантастика,3.7
User146,Film_28,триллер,3.2
User49,Film_169,фантастика,3.7
User118,Film_4,мелодрама,4.3
User102,Film_204,триллер,4.9
User17,Film_66,фантастика,4.5
User30,Film_124,комедия,3.3
User40,Film_252,детектив,4.0
User95,Film_53,боевик,2.9
User111,Film_304,триллер,1.9
User66,Film_327,мелодрама,2.7
User95,Film_58,детектив,4.6
User34,Film_152,детектив,2.3
User146,Film_32,фантастика,3.9
User62,Film_251,драма,2.1
User30,Film_295,драма,3.1
User9,Film_110,комедия,4.3
User70,Film_126,боевик,3.8
User20,Film_140,триллер,4.0
User50,Film_349,фантастика,4.6
User87,Film_82,фантастика,4.2
User23,Film_283,боевик,4.1
User69,Film_376,детектив,2.8
User117,Film_142,драма,2.3
User138,Film_106,драма,4.1
User57,Film_351,драма,2.6
User129,Film_76,драма,3.5
User60,Film_195,фантастика,2.2
User143,Film_31,триллер,5.0
User29,Film_164,мелодрама,5.0
User137,Film_174,фантастика,3.0
User81,Film_184,драма,3.3
User147,Film_236,комедия,2.6
User133,Film_303,детектив,2.5
User71,Film_267,детектив,3.4
User84,Film_251,драма,4.2
User30,Film_340,драма,3.1
User93,Film_354,боевик,4.0
User146,Film_191,боевик,1.7
User73,Film_111,триллер,2.9
User109,Film_377,мелодрама,4.0
User128,Film_99,детектив,3.5
User43,Film_220,детектив,4.5
User129,Film_105,фантастика,3.8
User75,Film_129,детектив,3.8
User150,Film_306,комедия,4.6
User41,Film_168,боевик,3.3
User34,Film_255,боевик,2.1
User15,Film_359,фантастика,2.2
User91,Film_204,триллер,2.3
User124,Film_67,триллер,2.4
User46,Film_279,мелодрама,4.3
User107,Film_394,триллер,3.8
User56,Film_310,фантастика,3.2
User47,Film_177,мелодрама,3.4
User24,Film_293,мелодрама,2.7
User142,Film_395,комедия,4.5
User60,Film_293,мелодрама,3.5
User40,Film_21,фантастика,1.9
User139,Film_383,мелодрама,3.2
User127,Film_111,триллер,3.2
User50,Film_240,триллер,3.4
User45,Film_160,триллер,2.5
User76,Film_191,боевик,2.0
User132,Film_263,боевик,4.3
User139,Film_74,драма,1.8
User57,Film_328,боевик,3.1
User8,Film_175,детектив,4.1
User100,Film_231,комедия,4.6
User3,Film_163,триллер,1.8
User133,Film_243,драма,4.2
User118,Film_338,комедия,4.0
User67,Film_372,детектив,4.6
User72,Film_101,драма,2.0
User150,Film_230,боевик,2.9
User43,Film_390,фантастика,3.4
User139,Film_69,фантастика,3.8
User134,Film_391,триллер,3.9
User140,Film_54,боевик,1.7
User77,Film_294,триллер,3.6
User77,Film_129,детектив,4.3
User61,Film_165,комедия,3.8
User67,Film_397,комедия,2.7
User23,Film_234,мелодрама,2.3
User53,Film_335,детектив,3.3
User17,Film_356,драма,3.5
User143,Film_303,детектив,2.0
User87,Film_5,фантастика,4.1
User134,Film_163,триллер,3.3
User83,Film_175,детектив,2.7
User27,Film_200,фантастика,3.4
User66,Film_321,триллер,2.4
User39,Film_133,триллер,3.3
User79,Film_356,драма,5.0
User23,Film_188,боевик,4.1
User106,Film_86,драма,3.3
User52,Film_19,драма,2.5
User122,Film_369,боевик,4.6
User50,Film_311,комедия,3.5
User43,Film_315,детектив,4.7
User81,Film_164,мелодрама,4.6
User73,Film_102,фантастика,1.9
User135,Film_172,фантастика,4.3
User100,Film_214,мелодрама,5.0
User150,Film_25,комедия,3.8
User89,Film_66,фантастика,4.4
User88,Film_316,детектив,3.4
User123,Film_233,боевик,3.3
User42,Film_108,мелодрама,4.7
User49,Film_154,мелодрама,4.8
User131,Film_126,боевик,4.1
User124,Film_58,детектив,2.9
User121,Film_364,драма,3.2
User27,Film_129,детектив,2.5
User106,Film_362,детектив,5.0
User81,Film_262,драма,3.6
User13,Film_287,фантастика,4.8
User32,Film_191,боевик,5.0
User69,Film_325,мелодрама,3.2
User6,Film_393,мелодрама,3.2
User87,Film_380,фантастика,4.4
User66,Film_167,боевик,3.3
User23,Film_203,фантастика,3.4
User86,Film_251,драма,4.4
User142,Film_366,мелодрама,2.5
User100,Film_313,мелодрама,4.3
User66,Film_394,триллер,1.9
User118,Film_359,фантастика,3.6
User28,Film_284,детектив,4.6
User57,Film_365,мелодрама,3.2
User111,Film_300,фантастика,2.2
User137,Film_120,драма,4.9
User59,Film_269,боевик,3.1
User84,Film_396,драма,4.6
User76,Film_76,драма,4.2
User89,Film_63,драма,3.6
User146,Film_264,драма,3.0
User1,Film_63,драма,3.7
User55,Film_24,драма,3.2
User118,Film_158,комедия,4.6
User34,Film_9,драма,2.4
User88,Film_140,триллер,3.8
User136,Film_201,боевик,5.0
User65,Film_260,боевик,4.8
User64,Film_383,мелодрама,4.1
User74,Film_372,детектив,1.9
User107,Film_376,детектив,2.7
User7,Film_204,триллер,3.1
User96,Film_287,фантастика,2.6
User124,Film_130,детектив,3.7
User98,Film_260,боевик,3.0
User114,Film_378,триллер,2.9
User37,Film_227,драма,2.1
User74,Film_51,детектив,2.1
User61,Film_54,боевик,4.3
User105,Film_135,мелодрама,4.5
User10,Film_149,фантастика,4.1
User40,Film_347,мелодрама,3.5
User133,Film_185,триллер,2.4
User78,Film_393,мелодрама,2.4
User31,Film_289,фантастика,3.3
User13,Film_385,драма,2.9
User142,Film_287,фантастика,2.4
User108,Film_190,боевик,3.7
User19,Film_370,мелодрама,2.9
User7,Film_306,комедия,3.1
User140,Film_203,фантастика,2.7
User3,Film_59,боевик,3.9
User57,Film_110,комедия,4.2
User113,Film_108,мелодрама,3.6
User18,Film_389,детектив,2.9
User68,Film_370,мелодрама,2.7
User12,Film_180,комедия,3.0
User26,Film_376,детектив,4.0
User135,Film_164,мелодрама,4.2
User122,Film_245,детектив,4.2
User67,Film_155,триллер,4.0
User128,Film_212,комедия,3.5
User63,Film_217,комедия,2.5
User7,Film_396,драма,2.1
User46,Film_142,драма,4.7
User94,Film_38,мелодрама,3.3
User137,Film_379,комедия,4.4
User94,Film_254,мелодрама,2.7
User34,Film_124,комедия,3.4
User108,Film_232,комедия,2.8
User106,Film_194,боевик,3.0
User46,Film_102,фантастика,3.8
User129,Film_9,драма,3.1
User100,Film_383,мелодрама,4.7
User41,Film_275,детектив,4.5
User116,Film_334,фантастика,3.4
User126,Film_168,боевик,2.4
User90,Film_37,боевик,2.9
User103,Film_131,мелодрама,2.5
User30,Film_218,фантастика,2.0
User30,Film_75,детектив,4.9
User13,Film_253,фантастика,5.0
User130,Film_255,боевик,4.2
User41,Film_313,мелодрама,3.5
User18,Film_297,мелодрама,3.4
User79,Film_86,драма,4.2
User110,Film_330,мелодрама,3.5
User48,Film_47,триллер,4.8
User135,Film_279,мелодрама,4.7
User26,Film_23,комедия,1.8
User35,Film_85,мелодрама,3.8
User125,Film_277,комедия,3.6
User101,Film_113,комедия,4.9
User105,Film_7,триллер,2.8
User42,Film_30,мелодрама,4.5
User52,Film_30,мелодрама,2.7
User16,Film_50,триллер,4.2
User64,Film_358,детектив,3.9
User11,Film_280,боевик,3.2
User20,Film_255,боевик,2.1
User67,Film_386,боевик,2.5
User119,Film_171,фантастика,4.3
User34,Film_238,мелодрама,2.2
User65,Film_266,комедия,3.1
User82,Film_293,мелодрама,2.9
User85,Film_52,комедия,1.8
User11,Film_118,мелодрама,4.4
User51,Film_40,боевик,2.6
User107,Film_43,триллер,3.4
User68,Film_154,мелодрама,3.2
User103,Film_381,мелодрама,3.1
User46,Film_69,фантастика,3.7
User81,Film_359,фантастика,3.2
User17,Film_165,комедия,2.1
User123,Film_371,мелодрама,3.0
User56,Film_58,детектив,3.5
User139,Film_387,драма,1.9
User16,Film_307,комедия,2.1
User68,Film_175,детектив,5.0
User80,Film_260,боевик,2.3
User79,Film_54,боевик,2.2
User116,Film_151,комедия,3.7
User108,Film_362,детектив,3.9
User103,Film_350,мелодрама,3.0
User38,Film_287,фантастика,5.0
User142,Film_137,мелодрама,2.3
User17,Film_108,мелодрама,3.2
User81,Film_182,детектив,2.1
User100,Film_253,фантастика,4.1
User7,Film_146,детектив,3.8
User128,Film_246,триллер,2.3
User12,Film_214,мелодрама,2.7
User61,Film_339,боевик,4.1
User35,Film_179,драма,3.4
User122,Film_356,драма,3.2
User9,Film_114,детектив,3.6
User78,Film_228,боевик,1.6
User123,Film_341,боевик,3.6
User137,Film_305,детектив,3.0
User54,Film_145,триллер,4.0
User61,Film_45,детектив,4.0
User73,Film_44,драма,1.9
User126,Film_236,комедия,2.5
User117,Film_26,фантастика,3.7
User68,Film_77,драма,1.9
User143,Film_137,мелодрама,5.0
User15,Film_209,триллер,3.5
User26,Film_373,триллер,4.6
User35,Film_29,мелодрама,3.1
User20,Film_146,детектив,2.1
User127,Film_156,боевик,3.8
User14,Film_397,комедия,4.9
User42,Film_16,боевик,1.9
User41,Film_111,триллер,4.8
User112,Film_180,комедия,3.6
User26,Film_375,боевик,3.3
User69,Film_254,мелодрама,3.0
User12,Film_364,драма,3.2
User72,Film_130,детектив,3.2
User134,Film_226,драма,3.9
User87,Film_47,триллер,4.8
User3,Film_88,мелодрама,4.5
User84,Film_183,мелодрама,3.0
User101,Film_161,драма,4.4
User110,Film_263,боевик,2.9
User131,Film_190,боевик,4.4
User116,Film_141,фантастика,2.7
User97,Film_132,мелодрама,3.6
User141,Film_341,боевик,2.8
User81,Film_4,мелодрама,4.8
User13,Film_39,мелодрама,2.5
User93,Film_59,боевик,3.2
User10,Film_399,боевик,2.2
User83,Film_124,комедия,4.4
User59,Film_125,детектив,4.1
User146,Film_317,триллер,3.1
User59,Film_291,комедия,4.1
User118,Film_11,детектив,3.2
User60,Film_301,фантастика,1.5
User67,Film_135,мелодрама,2.8
User124,Film_152,детектив,2.5
User49,Film_253,фантастика,3.2
User18,Film_176,мелодрама,4.2
User90,Film_195,фантастика,4.6
User28,Film_335,детектив,4.7
User2,Film_203,фантастика,1.6
User65,Film_194,боевик,4.4
User10,Film_295,драма,3.6
User83,Film_324,детектив,2.5
User88,Film_182,детектив,3.7
User61,Film_295,драма,3.3
User147,Film_345,детектив,2.0
User10,Film_249,драма,4.1
User107,Film_284,детектив,3.0
User25,Film_221,комедия,2.4
User43,Film_396,драма,4.8
User135,Film_326,детектив,2.7
User21,Film_100,триллер,2.2
User142,Film_11,детектив,3.1
User46,Film_97,детектив,5.0
User70,Film_49,мелодрама,4.4
User48,Film_28,триллер,4.4
User114,Film_116,фантастика,4.5
User56,Film_103,мелодрама,3.8
User128,Film_253,фантастика,3.8
User37,Film_49,мелодрама,2.3
User129,Film_271,триллер,2.6
User95,Film_363,детектив,3.9
User85,Film_386,боевик,2.5
User53,Film_229,триллер,4.5
User145,Film_374,драма,4.6
User127,Film_33,боевик,4.0
User52,Film_399,боевик,4.0
User22,Film_104,фантастика,2.7
User80,Film_351,драма,4.4
User60,Film_82,фантастика,1.8
User81,Film_52,комедия,3.3
User109,Film_285,фантастика,2.3
User144,Film_332,триллер,2.2
User123,Film_103,мелодрама,2.2
User66,Film_175,детектив,3.2
User87,Film_389,детектив,2.2
User4,Film_309,комедия,2.6
User46,Film_334,фантастика,4.3
User106,Film_143,комедия,3.2
User46,Film_320,детектив,5.0
User85,Film_388,детектив,3.4
User115,Film_215,драма,3.4
User49,Film_99,детектив,2.5
User90,Film_183,мелодрама,2.9
User95,Film_82,фантастика,3.4
User133,Film_349,фантастика,3.2
User148,Film_209,триллер,1.6
User43,Film_295,драма,4.1
User137,Film_186,драма,5.0
User79,Film_213,боевик,2.2
User104,Film_194,боевик,4.8
User116,Film_111,триллер,3.3
User1,Film_242,фантастика,2.4
User133,Film_115,драма,4.3
User70,Film_108,мелодрама,4.0
User73,Film_59,боевик,3.7
User85,Film_233,боевик,2.6
User148,Film_307,комедия,3.0
User63,Film_385,драма,4.0
User106,Film_325,мелодрама,2.8
User91,Film_49,мелодрама,2.5
User92,Film_297,мелодрама,4.1
User143,Film_313,мелодрама,4.5
User94,Film_204,триллер,1.9
User128,Film_16,боевик,2.8
User33,Film_124,комедия,4.2
User48,Film_123,мелодрама,2.3
User133,Film_397,комедия,3.3
User11,Film_241,детектив,5.0
User37,Film_365,мелодрама,1.8
User73,Film_156,боевик,2.9
User15,Film_367,мелодрама,3.6
User122,Film_135,мелодрама,1.9
User96,Film_42,детектив,4.8
User18,Film_130,детектив,2.7
User100,Film_394,триллер,3.5
User55,Film_350,мелодрама,2.6
User62,Film_376,детектив,5.0
User135,Film_268,мелодрама,4.5
User56,Film_47,триллер,5.0
User45,Film_380,фантастика,4.8
User90,Film_120,драма,2.9
User62,Film_27,мелодрама,3.4
User9,Film_183,мелодрама,4.6
User25,Film_114,детектив,4.8
User65,Film_200,фантастика,4.4
User149,Film_38,мелодрама,4.2
User125,Film_359,фантастика,3.0
User25,Film_119,фантастика,4.5
User112,Film_339,боевик,4.5
User74,Film_9,драма,3.0
User39,Film_320,детектив,4.0
User61,Film_199,драма,3.5
User148,Film_71,триллер,2.0
User54,Film_304,триллер,4.3
User102,Film_171,фантастика,2.7
User67,Film_125,детектив,4.7
User146,Film_141,фантастика,3.9
User100,Film_327,мелодрама,4.9
User35,Film_5,фантастика,3.0
User18,Film_34,мелодрама,3.4
User134,Film_310,фантастика,2.7
User21,Film_124,комедия,3.3
User5,Film_303,детектив,3.0
User10,Film_56,боевик,2.4
User58,Film_86,драма,3.5
User56,Film_62,триллер,4.9
User44,Film_393,мелодрама,2.3
User89,Film_308,драма,4.0
User88,Film_251,драма,2.4
User109,Film_356,драма,3.1
User85,Film_152,детектив,3.2
User9,Film_330,мелодрама,5.0
User60,Film_396,драма,2.8
User34,Film_333,мелодрама,2.3
User131,Film_123,мелодрама,4.1
User54,Film_324,детектив,3.4
User75,Film_281,мелодрама,4.1
User147,Film_159,триллер,4.0
User24,Film_29,мелодрама,1.8
User140,Film_179,драма,4.5
User138,Film_102,фантастика,3.9
User88,Film_146,детектив,3.3
User67,Film_287,фантастика,4.0
User118,Film_150,драма,3.8
User15,Film_169,фантастика,1.8
User7,Film_88,мелодрама,2.6
User127,Film_118,мелодрама,2.8
User6,Film_171,фантастика,3.8
User3,Film_73,драма,3.7
User39,Film_197,детектив,4.2
User44,Film_148,фантастика,4.1
User74,Film_305,детектив,2.2
User92,Film_342,боевик,5.0
User99,Film_324,детектив,3.5
User94,Film_126,боевик,4.3
User55,Film_310,фантастика,4.1
User121,Film_323,боевик,4.3
User135,Film_207,боевик,3.5
User69,Film_215,драма,4.0
User29,Film_40,боевик,4.0
User144,Film_264,драма,3.7
User87,Film_102,фантастика,3.5
User124,Film_366,мелодрама,4.3
User66,Film_19,драма,3.8
User4,Film_242,фантастика,2.9
User31,Film_137,мелодрама,4.4
User50,Film_95,детектив,2.9
User59,Film_295,драма,2.0
User85,Film_201,боевик,2.6
User2,Film_126,боевик,2.9
User148,Film_389,детектив,4.4
User91,Film_347,мелодрама,3.0
User112,Film_222,детектив,4.1
User123,Film_238,мелодрама,2.2
User123,Film_88,мелодрама,2.4
User140,Film_214,мелодрама,4.5
User70,Film_249,драма,3.8
User127,Film_85,мелодрама,2.8
User136,Film_264,драма,2.8
User70,Film_120,драма,4.6
User119,Film_223,фантастика,3.4
User63,Film_194,боевик,4.3
User41,Film_77,драма,3.5
User40,Film_98,боевик,2.2
User50,Film_387,драма,2.7
User17,Film_135,мелодрама,3.1
User92,Film_115,драма,2.4
User65,Film_292,драма,4.1
User60,Film_220,детектив,2.5
User87,Film_140,триллер,4.1
User39,Film_278,боевик,2.3
User15,Film_314,комедия,4.5
User114,Film_43,триллер,3.0
User17,Film_233,боевик,4.1
User80,Film_41,драма,4.2
User12,Film_3,триллер,3.6
User103,Film_316,детектив,2.5
User134,Film_269,боевик,3.7
User114,Film_384,комедия,5.0
User76,Film_133,триллер,2.7
User70,Film_213,боевик,2.9
User46,Film_371,мелодрама,5.0
User68,Film_23,комедия,3.3
User97,Film_242,фантастика,3.8
User78,Film_252,детектив,4.3
User115,Film_89,мелодрама,3.7
User50,Film_172,фантастика,4.7
User133,Film_137,мелодрама,4.6
User46,Film_324,детектив,5.0
User138,Film_30,мелодрама,5.0
User136,Film_5,фантастика,2.4
User40,Film_379,комедия,2.8
User78,Film_250,боевик,2.3
User28,Film_164,мелодрама,4.3
User2,Film_25,комедия,3.7
User129,Film_351,драма,3.6
User89,Film_255,боевик,3.3
User17,Film_176,мелодрама,2.5
User65,Film_100,триллер,2.5
User11,Film_22,мелодрама,3.5
User37,Film_384,комедия,3.6
User75,Film_387,драма,2.6
User31,Film_179,драма,2.4
User92,Film_339,боевик,4.9
User111,Film_11,детектив,4.8
User55,Film_244,боевик,3.3
User123,Film_168,боевик,3.3
User102,Film_356,драма,3.5
User26,Film_352,фантастика,3.6
User13,Film_281,мелодрама,2.0
User127,Film_355,драма,1.7
User36,Film_65,боевик,4.6
User56,Film_16,боевик,4.5
User24,Film_48,детектив,3.3
User139,Film_355,драма,2.0
User71,Film_357,фантастика,3.5
User76,Film_11,детектив,4.5
User85,Film_216,драма,3.4
User20,Film_136,драма,4.7
User44,Film_72,боевик,2.7
User107,Film_269,боевик,4.6
User58,Film_173,триллер,4.3
User94,Film_144,фантастика,4.0
User70,Film_253,фантастика,4.9
User51,Film_241,детектив,5.0
User49,Film_27,мелодрама,4.2
User38,Film_134,триллер,4.8
User117,Film_345,детектив,4.1
User127,Film_368,боевик,4.5
User143,Film_356,драма,4.8
User146,Film_289,фантастика,3.6
User58,Film_235,триллер,4.0
User128,Film_43,триллер,2.4
User113,Film_98,боевик,2.1
User43,Film_43,триллер,4.9
User32,Film_22,мелодрама,3.3
User9,Film_263,боевик,2.7
User102,Film_364,драма,4.0
User88,Film_44,драма,2.7
User99,Film_97,детектив,4.0
User80,Film_74,драма,4.1
User116,Film_11,детектив,3.5
User144,Film_315,детектив,2.4
User105,Film_126,боевик,3.9
User138,Film_281,мелодрама,5.0
User6,Film_72,боевик,4.6
User95,Film_142,драма,2.5
User140,Film_244,боевик,2.0
User106,Film_117,детектив,4.4
User145,Film_333,мелодрама,3.7
User131,Film_323,боевик,4.7
User67,Film_362,детектив,3.9
User57,Film_201,боевик,2.7
User9,Film_141,фантастика,1.9
User4,Film_342,боевик,4.8
User97,Film_338,комедия,2.8
User20,Film_344,фантастика,3.6
User29,Film_157,драма,3.4
User31,Film_346,фантастика,3.9
User114,Film_391,триллер,2.6
User76,Film_232,комедия,5.0
User82,Film_241,детектив,5.0
User122,Film_160,триллер,2.2
User146,Film_346,фантастика,3.8
User35,Film_139,детектив,3.2
User148,Film_73,драма,2.2
User52,Film_42,детектив,3.9
User97,Film_357,фантастика,3.6
User138,Film_363,детектив,2.5
User132,Film_233,боевик,4.2
User85,Film_182,детектив,2.4
User74,Film_141,фантастика,3.0
User89,Film_225,фантастика,4.1
User88,Film_27,мелодрама,3.8
User76,Film_75,детектив,4.2
User73,Film_399,боевик,3.6
User126,Film_163,триллер,2.8
User117,Film_246,триллер,2.4
User14,Film_214,мелодрама,3.5
User54,Film_352,фантастика,3.9
User117,Film_178,драма,2.6
User35,Film_78,боевик,3.4
User54,Film_144,фантастика,3.5
User102,Film_214,мелодрама,3.8
User138,Film_185,триллер,1.9
User57,Film_3,триллер,4.2
User146,Film_316,детектив,3.3
User62,Film_283,боевик,2.2
User47,Film_136,драма,3.9
User110,Film_281,мелодрама,4.3
User47,Film_350,мелодрама,2.5
User98,Film_324,детектив,3.5
User18,Film_79,драма,2.6
User136,Film_150,драма,2.1
User18,Film_224,фантастика,3.6
User42,Film_105,фантастика,2.8
User80,Film_178,драма,4.2
User2,Film_42,детектив,2.4
User51,Film_44,драма,5.0
User72,Film_202,драма,2.2
User32,Film_254,мелодрама,4.3
User72,Film_162,драма,2.1
User62,Film_88,мелодрама,2.9
User99,Film_362,детектив,3.9
User148,Film_193,боевик,4.3
User131,Film_250,боевик,4.6
User132,Film_181,комедия,4.4
User46,Film_276,драма,4.4
User121,Film_335,детектив,3.3
User11,Film_123,мелодрама,4.2
User121,Film_208,мелодрама,4.3
User126,Film_343,триллер,3.0
User82,Film_391,триллер,4.6
User103,Film_54,боевик,3.3
User68,Film_133,триллер,3.4
User67,Film_286,триллер,4.0
User34,Film_109,комедия,4.1
User47,Film_341,боевик,4.4
User57,Film_174,фантастика,2.5
User91,Film_203,фантастика,2.5
User134,Film_121,детектив,4.6
User45,Film_280,боевик,2.6
User55,Film_224,фантастика,4.1
User48,Film_329,триллер,4.9
User60,Film_274,боевик,2.2
User2,Film_83,детектив,3.1
User138,Film_329,триллер,2.2
User139,Film_293,мелодрама,2.7
User93,Film_171,фантастика,4.6
User55,Film_19,драма,2.6
User66,Film_22,мелодрама,3.3
User139,Film_195,фантастика,3.9
User135,Film_389,детектив,3.3
User84,Film_114,детектив,3.3
User13,Film_283,боевик,2.9
User38,Film_304,триллер,4.1
User71,Film_361,триллер,3.5
User66,Film_157,драма,4.0
User24,Film_389,детектив,3.9
User68,Film_344,фантастика,4.0
User17,Film_149,фантастика,4.4
User81,Film_123,мелодрама,5.0
User5,Film_72,боевик,4.4
User85,Film_347,мелодрама,3.3
User22,Film_163,триллер,3.0
User61,Film_38,мелодрама,3.8
User21,Film_385,драма,3.7
User94,Film_198,мелодрама,3.9
User28,Film_382,боевик,2.1
User98,Film_335,детектив,3.5
User111,Film_261,фантастика,2.5
User88,Film_336,триллер,3.7
User108,Film_54,боевик,3.3
User6,Film_216,драма,4.0
User48,Film_62,триллер,4.3
User71,Film_206,мелодрама,2.8
User28,Film_123,мелодрама,4.3
User143,Film_294,триллер,4.5
User108,Film_208,мелодрама,2.9
User59,Film_301,фантастика,3.9
User89,Film_351,драма,4.4
User100,Film_288,комедия,4.1
User140,Film_52,комедия,3.0
User15,Film_296,мелодрама,4.2
User55,Film_392,драма,2.3
User59,Film_219,комедия,3.4
User141,Film_167,боевик,3.0
User99,Film_287,фантастика,2.6
User63,Film_357,фантастика,2.5
User32,Film_282,драма,3.9
User23,Film_320,детектив,2.5
User76,Film_112,боевик,2.6
User132,Film_50,триллер,3.7
